"Name","Value","Package","Place X","Place Y","Rotation","Side","Feeder",
"C1","10µ 35V","PANA_B","19,37","76,20","90,00","Top","None",
"C2","10µ 35V","PANA_B","31,43","73,34","90,00","Top","None",
"C3","100n","SM0805","40,09","71,44","180,00","Top","1",
"C4","100n","SM0805","27,07","67,56","0,00","Top","1",
"C5","100n","SM0805","34,69","67,63","0,00","Top","1",
"C6","22p","SM0805","45,40","61,91","270,00","Top","9",
"C7","22p","SM0805","45,40","60,01","270,00","Top","9",
"C8","100n","SM0805","45,40","56,20","270,00","Top","1",
"C9","100n","SM0805","63,18","54,29","0,00","Top","1",
"C10","100µ 10V","PANA_D","46,35","50,80","0,00","Top","None",
"C11","100n","SM0805","54,61","50,80","270,00","Top","1",
"C12","100n","SM0805","13,34","47,31","270,00","Top","1",
"C13","100n","SM0805","21,36","47,31","90,00","Top","1",
"C14","100n","SM0805","31,84","44,77","180,00","Top","1",
"C15","100n","SM0805","35,33","44,77","180,00","Top","1",
"C16","4n7","SM0805","54,61","44,45","270,00","Top","5",
"C17","100n","SM0805","66,99","43,81","270,00","Top","1",
"C18","100n","SM0805","54,61","41,91","270,00","Top","1",
"C19","100n","SM0805","21,27","39,37","0,00","Top","1",
"C20","10µ 35V","PANA_B","27,31","39,05","270,00","Top","None",
"C21","10µ 35V","PANA_B","33,66","39,05","270,00","Top","None",
"C22","100µ 10V","PANA_D","49,53","34,92","270,00","Top","None",
"C23","22µ 35V","PANA_D","12,70","29,84","180,00","Top","None",
"C24","22µ 35V","PANA_D","24,13","29,84","180,00","Top","None",
"C25","4n7","SM0805","45,72","24,13","180,00","Top","5",
"C26","220p","SM0805","16,83","21,27","270,00","Top","10",
"C27","220p","SM0805","31,43","21,27","90,00","Top","10",
"C28","2µ2 50V","PANA_B","39,69","19,68","180,00","Top","None",
"C29","2µ2 50V","PANA_B","46,67","19,68","180,00","Top","None",
"D1","LL4148","MLL34","23,81","69,85","180,00","Top","None",
"R1","220R","SM0805","41,59","77,79","270,00","Top","None",
"R2","220R","SM0805","47,94","77,79","90,00","Top","None",
"R3","10k","SM0805","47,94","75,88","90,00","Top","7",
"R4","22k","SM0805","47,94","73,98","270,00","Top","None",
"R5","22R","SM0805","47,94","70,80","90,00","Top","6",
"R6","12k","SM0805","40,09","67,63","0,00","Top","None",
"R7","22R","SM0805","47,94","68,90","90,00","Top","6",
"R8","220R","SM0805","15,88","65,72","270,00","Top","None",
"R9","2k2","SM0805","19,68","65,72","90,00","Top","None",
"R10","22R","SM0805","10,80","62,23","90,00","Top","6",
"R11","22k","SM0805","10,80","60,33","90,00","Top","None",
"R12","220R","SM0805","19,37","62,23","90,00","Top","None",
"R13","22k","SM0805","19,37","60,33","90,00","Top","None",
"R14","10k","SM0805","45,40","58,10","270,00","Top","7",
"R15","22k","SM0805","21,59","54,61","180,00","Top","None",
"R16","1k","SM0805","49,53","44,45","270,00","Top","3",
"R17","100R","SM0805","62,23","43,81","90,00","Top","None",
"R18","22k","SM0805","37,78","35,88","0,00","Top","None",
"R19","22k","SM0805","41,91","35,88","180,00","Top","None",
"R20","22k","SM0805","43,81","35,88","180,00","Top","None",
"R21","22R","SM0805","54,61","35,24","0,00","Top","6",
"R22","220R","SM0805","31,43","26,99","90,00","Top","None",
"R23","1k","SM0805","45,72","28,26","180,00","Top","3",
"R24","4k7","SM0805","16,83","25,08","270,00","Top","4",
"R25","220R","SM0805","20,95","25,08","90,00","Top","None",
"R26","4k7","SM0805","31,43","25,08","90,00","Top","4",
"R27","100R","SM0805","56,52","25,72","90,00","Top","None",
"R28","47k","SM0805","16,83","23,18","90,00","Top","None",
"R29","47k","SM0805","31,43","23,18","270,00","Top","None",
"R30","22k","SM0805","38,42","24,13","180,00","Top","None",
"R31","4k7","SM0805","56,52","23,50","270,00","Top","4",
"R32","22k","SM0805","16,83","18,73","90,00","Top","None",
"R33","22k","SM0805","31,43","18,73","270,00","Top","None",
"R34","4k7","SM0805","56,52","18,41","270,00","Top","4",
"R35","22k","SM0805","43,50","16,19","270,00","Top","None",
"R36","22R","SM0805","15,88","12,38","0,00","Top","6",
"R37","22R","SM0805","20,32","12,38","0,00","Top","6",
"R38","22R","SM0805","22,23","12,38","0,00","Top","6",
"R39","22R","SM0805","24,13","12,38","0,00","Top","6",
"R40","22R","SM0805","26,04","12,38","0,00","Top","6",
"U2","SAM5704B","LQFP128","32,15","56,52","270,00","Top","None",
"U3","W25Q512","SOL16","13,34","53,66","180,00","Top","None",
"U5","CS4334-KSZ","SO8","42,63","42,55","0,00","Top","None",
"U6","W25Q512","SOL16","13,34","40,32","180,00","Top","None",
"XTAL1","12 MHz","HC49SMD","49,85","65,41","90,00","Top","None",
