"Name","Value","Package","Place X","Place Y","Rotation","Side","Feeder",
"R1","220R","SM0805","-82,23","175,26","0,00","Bottom","1",
"R11","220R","SM0805","-177,48","175,26","0,00","Bottom","1",
"R13","220R","SM0805","-193,36","175,26","0,00","Bottom","1",
"R15","220R","SM0805","-209,23","175,26","0,00","Bottom","1",
"R22","220R","SM0805","-82,23","142,56","0,00","Bottom","1",
"R24","220R","SM0805","-98,11","142,56","0,00","Bottom","1",
"R26","220R","SM0805","-113,98","142,56","0,00","Bottom","1",
"R28","220R","SM0805","-129,86","142,56","0,00","Bottom","1",
"R3","220R","SM0805","-98,11","175,26","0,00","Bottom","1",
"R30","220R","SM0805","-161,61","142,56","0,00","Bottom","1",
"R32","220R","SM0805","-177,48","142,56","0,00","Bottom","1",
"R34","220R","SM0805","-193,36","142,56","0,00","Bottom","1",
"R36","220R","SM0805","-209,23","142,56","0,00","Bottom","1",
"R5","220R","SM0805","-113,98","175,26","0,00","Bottom","1",
"R7","220R","SM0805","-129,86","175,26","0,00","Bottom","1",
"R9","220R","SM0805","-158,12","179,39","270,00","Bottom","1",
"R17","4k7","SM0805","-159,07","175,26","180,00","Bottom","2",
"R18","4k7","SM0805","-161,29","175,26","180,00","Bottom","2",
"R19","4k7","SM0805","-163,51","175,26","180,00","Bottom","2",
"R20","4k7","SM0805","-207,65","161,29","270,00","Bottom","2",
"R21","4k7","SM0805","-207,65","159,38","270,00","Bottom","2",
"R10","2k2","SM0805","-171,13","175,26","180,00","Bottom","3",
"R12","2k2","SM0805","-179,39","175,26","180,00","Bottom","3",
"R14","2k2","SM0805","-195,26","175,26","180,00","Bottom","3",
"R16","2k2","SM0805","-211,14","175,26","180,00","Bottom","3",
"R2","2k2","SM0805","-84,14","175,26","180,00","Bottom","3",
"R23","2k2","SM0805","-84,14","142,56","180,00","Bottom","3",
"R25","2k2","SM0805","-100,01","142,56","180,00","Bottom","3",
"R27","2k2","SM0805","-115,89","142,56","180,00","Bottom","3",
"R29","2k2","SM0805","-131,76","142,56","180,00","Bottom","3",
"R31","2k2","SM0805","-163,51","142,56","180,00","Bottom","3",
"R33","2k2","SM0805","-179,39","142,56","180,00","Bottom","3",
"R35","2k2","SM0805","-195,26","142,56","180,00","Bottom","3",
"R37","2k2","SM0805","-211,14","142,56","180,00","Bottom","3",
"R4","2k2","SM0805","-100,01","175,26","180,00","Bottom","3",
"R6","2k2","SM0805","-115,89","175,26","180,00","Bottom","3",
"R8","2k2","SM0805","-145,10","179,39","270,00","Bottom","3",
"C2","100n","SM0805","-78,42","158,43","90,00","Bottom","5",
"C4","100n","SM0805","-156,53","150,50","0,00","Bottom","5",
"C5","2µ2","SM0805","-220,35","142,56","0,00","Bottom","6",
"C3","22µ 63V","PANA_D","-199,39","160,66","90","Bottom","7",
"C1"," ","SM1812","-142,24","175,26","270,00","Bottom","None",
"U1"," ","SOL","-151,76","161,29","0,00","Bottom","None",
